Parameter,category,data_type,detected_unit,exclude_reason,formatting_errors,max,mean,median,merged_from,merged_into,min,n_nonnull,n_total,n_unique,no_variance,notes,only_in_group,original_name,original_unit,outliers_detected,q1,q3,recommended_action,too_few_data,unit_unknown,useful
Insulina po 75g glukozy (3pkt.) (INSUL_0),Insulin_Fasting,float64,μU/mL,['merged into insulin_fasting_uU_ml'],False,98.2,10.517207207207205,8.295,[],insulin_fasting_uU_ml,1.77,222,1331,181,False,"['Has 222 values, but 0 in Control', 'MANUAL CORRECTION: unified to μU/mL']",PCOS,Insulina po 75g glukozy (3pkt.) (INSUL_0),,False,6.195,11.875,merged,False,False,False
Insulina po 75g glukozy (3pkt.) (INSUL_1),Insulin_Fasting,float64,μU/mL,['merged into insulin_60min_3pt_uU_ml'],False,464.0,83.66723981900452,72.8,[],insulin_60min_3pt_uU_ml,8.25,221,1331,185,False,"['Has 221 values, but 0 in Control', 'MANUAL CORRECTION: unified to μU/mL']",PCOS,Insulina po 75g glukozy (3pkt.) (INSUL_1),,False,50.4,101.0,merged,False,False,False
Insulina po 75g glukozy (3pkt.) (INSUL_2),Insulin_Fasting,float64,μU/mL,['merged into insulin_120min_3pt_uU_ml'],False,435.0,74.96117647058823,60.6,[],insulin_120min_3pt_uU_ml,6.51,221,1331,194,False,"['Has 221 values, but 0 in Control', 'MANUAL CORRECTION: unified to μU/mL']",PCOS,Insulina po 75g glukozy (3pkt.) (INSUL_2),,False,35.5,101.0,merged,False,False,False
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 0m)",Insulin_Fasting,float64,μU/mL,['merged into insulin_fasting_uU_ml'],False,27.8,7.821686746987952,6.6,[],insulin_fasting_uU_ml,1.8,83,1331,62,False,"['Has 83 values, but 0 in Control', 'MANUAL CORRECTION: unified to μU/mL']",PCOS,"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 0m)",,False,4.75,9.6,merged,False,False,False
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 120m)",Insulin_Fasting,float64,μU/mL,['merged into insulin_120min_4pt_uU_ml'],False,239.5,47.93012048192771,32.6,[],insulin_120min_4pt_uU_ml,8.6,83,1331,75,False,"['Has 83 values, but 0 in Control', 'MANUAL CORRECTION: unified to μU/mL']",PCOS,"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 120m)",,False,19.7,55.0,merged,False,False,False
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 30m)",Insulin_Fasting,float64,μU/mL,['merged into insulin_30min_uU_ml'],False,347.1,59.01445783132531,46.7,[],insulin_30min_uU_ml,7.5,83,1331,81,False,"['Has 83 values, but 0 in Control', 'MANUAL CORRECTION: unified to μU/mL']",PCOS,"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 30m)",,False,32.65,66.35,merged,False,False,False
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 60m)",Insulin_Fasting,float64,μU/mL,['merged into insulin_60min_4pt_uU_ml'],False,299.3,52.8867469879518,36.0,[],insulin_60min_4pt_uU_ml,9.0,83,1331,79,False,"['Has 83 values, but 0 in Control', 'MANUAL CORRECTION: unified to μU/mL']",PCOS,"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97 60m)",,False,23.75,57.15,merged,False,False,False
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_0)",Insulin_Fasting,float64,μU/mL,['merged into insulin_fasting_uU_ml'],False,21.1,6.70483870967742,6.25,[],insulin_fasting_uU_ml,1.9,62,1331,45,False,"['Has 62 values, but 0 in Control', 'MANUAL CORRECTION: unified to μU/mL']",PCOS,"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_0)",,False,3.9,7.45,merged,False,False,False
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_1)",Insulin_Fasting,float64,μU/mL,['merged into insulin_30min_uU_ml'],False,250.6,56.29016393442623,42.0,[],insulin_30min_uU_ml,3.2,61,1331,60,False,"['Has 61 values, but 0 in Control', 'MANUAL CORRECTION: unified to μU/mL']",PCOS,"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_1)",,False,29.4,73.2,merged,False,False,False
"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_2)",Insulin_Fasting,float64,μU/mL,['merged into insulin_60min_4pt_uU_ml'],False,203.1,49.777419354838706,35.5,[],insulin_60min_4pt_uU_ml,8.6,62,1331,62,False,"['Has 62 values, but 0 in Control', 'MANUAL CORRECTION: unified to μU/mL']",PCOS,"Insulina po obciążeniu 75 g glukozy 0,1,2,3 (L97_2)",,False,26.525,60.5,merged,False,False,False
"Jonogram (Sód, potas, chlorki) (L_CI)",Electrolytes,float64,mmol/L,[],False,108.7,103.90476190476193,103.95,[],,99.3,84,1331,48,False,"['Has 84 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → mmol/L']",PCOS,"Jonogram (Sód, potas, chlorki) (L_CI)",,False,102.875,105.225,,False,False,True
"Jonogram (Sód, potas, chlorki) (L_K)",Electrolytes,float64,mmol/L,[],False,5.27,4.516904761904762,4.555,[],,3.58,84,1331,65,False,"['Has 84 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → mmol/L']",PCOS,"Jonogram (Sód, potas, chlorki) (L_K)",,False,4.275,4.8025,,False,False,True
"Jonogram (Sód, potas, chlorki) (L_NA)",Electrolytes,float64,mmol/L,[],False,145.0,140.06785714285715,140.14999999999998,[],,135.1,84,1331,50,False,"['Has 84 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → mmol/L']",PCOS,"Jonogram (Sód, potas, chlorki) (L_NA)",,False,138.9,141.3,,False,False,True
Kortyzol godz. 08:00 (KOR),Cortisol_8AM,float64,μg/dL,['merged into cortisol_8am_ug_dL'],False,32.47,12.946399141630902,12.8,[],cortisol_8am_ug_dL,0.05,1165,1331,470,False,"['Has 1165 values, but 0 in Control']",PCOS,Kortyzol godz. 08:00 (KOR),,False,9.91,15.6,merged,False,False,False
Kortyzol godz. 23:00 (KOR23),Cortisol_11PM,float64,μg/dL,[],False,24.2,3.066469580119966,2.25,[],,0.43,1167,1331,521,False,"['Has 1167 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → μg/dL']",PCOS,Kortyzol godz. 23:00 (KOR23),,False,1.41,3.665,,False,False,True
Kortyzol na czczo (KORCZ),Cortisol_8AM,float64,,['N=1 < 10 - automatic exclusion'],False,15.83,15.83,15.83,[],,15.83,1,1331,1,False,"['Has 1 values, but 0 in Control', 'Only 1 non-null values']",PCOS,Kortyzol na czczo (KORCZ),,False,15.83,15.83,exclude,True,False,False
Kortyzol po Dexamethasonie (KORD),Cortisol_Dexamethasone,float64,μg/dL,[],False,9.245,0.79617903930131,0.58,[],,0.25,229,1331,84,False,"['Has 229 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → μg/dL']",PCOS,Kortyzol po Dexamethasonie (KORD),,False,0.49,0.75,,False,False,True
Kortyzol po Dexamethasonie [1mg] (KORD),Cortisol_Dexamethasone,float64,μg/dL,[],False,14.2,0.7639,0.58,[],,0.26,400,1331,94,False,"['Has 400 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → μg/dL']",PCOS,Kortyzol po Dexamethasonie [1mg] (KORD),,False,0.47,0.7124999999999999,,False,False,True
Kortyzol po Dexamethasonie [2mg] (KOR2DXM),Cortisol_Dexamethasone,float64,μg/dL,[],False,2.7,0.6379143389199255,0.59,[],,0.2,537,1331,102,False,"['Has 537 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → μg/dL']",PCOS,Kortyzol po Dexamethasonie [2mg] (KOR2DXM),,False,0.49,0.71,,False,False,True
Kortyzol po Dexamethasonie [4mg] (KOR4DXM),Cortisol_Dexamethasone,float64,,['N=3 < 10 - automatic exclusion'],False,0.56,0.4766666666666666,0.46,[],,0.41,3,1331,3,False,"['Has 3 values, but 0 in Control', 'Only 3 non-null values']",PCOS,Kortyzol po Dexamethasonie [4mg] (KOR4DXM),,False,0.435,0.51,exclude,True,False,False
Kreatynina (KREAT),Creatinine,float64,mg/dL,[],False,1.11,0.7865486725663716,0.78,[],,0.49,113,1331,38,False,"['Has 113 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → mg/dL']",PCOS,Kreatynina (KREAT),,False,0.73,0.87,,False,False,True
Krzywa cukrowa - 2 punktowa (GLU120),Glucose_OGTT,float64,mg/dL,[],False,270.0,111.17545691906005,107.0,[],,42.2,1149,1331,344,False,"['Has 1149 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → mg/dL']",PCOS,Krzywa cukrowa - 2 punktowa (GLU120),,False,91.1,125.0,,False,False,True
Krzywa cukrowa - 2 punktowa (L_GLU_0),Glucose_Fasting,float64,mg/dL,['merged into glucose_fasting_mg_dL'],False,108.0,84.32891304347827,83.85,[],glucose_fasting_mg_dL,51.9,1150,1331,252,False,"['Has 1150 values, but 0 in Control']",PCOS,Krzywa cukrowa - 2 punktowa (L_GLU_0),,False,80.3,88.0,merged,False,False,False
LDL cholesterol (LDL),LDL,float64,mg/dL,[],False,239.0,91.55784431137724,88.58,[],,20.3,1169,1331,916,False,"['Has 1169 values, but 0 in Control']",PCOS,LDL cholesterol (LDL),,False,72.4,107.98,,False,False,True
LH (LH),LH,float64,IU/L,['merged into lh_iu_l'],False,35.5,8.390445205479454,7.04,[],lh_iu_l,0.1,1168,1331,694,False,"['Has 1168 values, but 0 in Control']",PCOS,LH (LH),,False,4.907500000000001,10.2475,merged,False,False,False
LH 0' 30' 60' (LH0),LH,float64,,"['N=15 between 10 and 30 - needs manual verification', 'Manual decision: excluded after review (N=15 between 10-30)']",False,6.7,2.3446666666666673,1.48,[],,0.3,15,1331,14,False,"['Has 15 values, but 0 in Control', 'Only 15 non-null values - consider if useful for subgroup analysis', 'Manual exclude decision - insufficient data or better alternatives exist']",PCOS,LH 0' 30' 60' (LH0),,False,0.88,3.9800000000000004,exclude,True,False,False
LH 0' 30' 60' (L_LH30),LH,float64,,"['N=15 between 10 and 30 - needs manual verification', 'Manual decision: excluded after review (N=15 between 10-30)']",False,64.23,18.164,16.0,[],,4.21,15,1331,15,False,"['Has 15 values, but 0 in Control', 'Only 15 non-null values - consider if useful for subgroup analysis', 'Manual exclude decision - insufficient data or better alternatives exist']",PCOS,LH 0' 30' 60' (L_LH30),,False,7.295,19.66,exclude,True,False,False
LH 0' 30' 60' (L_LH60),LH,float64,,"['N=15 between 10 and 30 - needs manual verification', 'Manual decision: excluded after review (N=15 between 10-30)']",False,47.73,15.404666666666666,14.1,[],,3.8,15,1331,15,False,"['Has 15 values, but 0 in Control', 'Only 15 non-null values - consider if useful for subgroup analysis', 'Manual exclude decision - insufficient data or better alternatives exist']",PCOS,LH 0' 30' 60' (L_LH60),,False,7.32,17.35,exclude,True,False,False
LH IU/l,LH,float64,IU/L,['merged into lh_iu_l'],False,12.6,7.219777777777776,6.93,[],lh_iu_l,1.73,45,1331,45,False,"['Has 45 values, but 0 in PCOS']",Control_no_PCOS,LH IU/l,,False,5.39,8.7,merged,False,False,False
Limf 10^3/uL,Lymphocytes,float64,10^3/uL,['merged into lymphocytes_abs_10_3_uL'],False,3.07,1.8882222222222225,1.88,[],lymphocytes_abs_10_3_uL,0.62,45,1331,39,False,"['Has 45 values, but 0 in PCOS']",Control_no_PCOS,Limf 10^3/uL,,False,1.57,2.11,merged,False,False,False
MDRD GFR (MDRD),GFR_MDRD,float64,,['no variance - only 1 unique value (constant: 60.0)'],False,60.0,60.0,60.0,[],,60.0,104,1331,1,True,"['Has 104 values, but 0 in Control']",PCOS,MDRD GFR (MDRD),,False,60.0,60.0,exclude,False,False,False
MPV fL,MPV,float64,fL,['merged into mpv_fL'],False,13.3,10.684444444444443,10.6,[],mpv_fL,8.7,45,1331,26,False,"['Has 45 values, but 0 in PCOS']",Control_no_PCOS,MPV fL,,False,10.1,11.2,merged,False,False,False
Mocz - badanie ogólne (MBARWA),Urinalysis,str,,['N=7 < 10 - automatic exclusion'],False,,,,[],,,7,1331,2,False,"['Has 7 values, but 0 in Control', 'Only 7 non-null values']",PCOS,Mocz - badanie ogólne (MBARWA),,False,,,exclude,True,False,False
Mocz - badanie ogólne (MBIALK),Urinalysis,str,,['N=7 < 10 - automatic exclusion'],False,,,,[],,,7,1331,2,False,"['Has 7 values, but 0 in Control', 'Only 7 non-null values']",PCOS,Mocz - badanie ogólne (MBIALK),,False,,,exclude,True,False,False
Mocz - badanie ogólne (MBILI),Urinalysis,str,,['N=7 < 10 - automatic exclusion'],False,,,,[],,,7,1331,2,False,"['Has 7 values, but 0 in Control', 'Only 7 non-null values']",PCOS,Mocz - badanie ogólne (MBILI),,False,,,exclude,True,False,False
Mocz - badanie ogólne (MCIEZA),Urinalysis,float64,,['N=7 < 10 - automatic exclusion'],False,1025.0,292.8675,1.0175,[],,1.01,7,1331,6,False,"['Has 7 values, but 0 in Control', 'Only 7 non-null values']",PCOS,Mocz - badanie ogólne (MCIEZA),,False,1.0125,510.51,exclude,True,False,False
Mocz - badanie ogólne (MCUKIE),Urinalysis,str,,['N=7 < 10 - automatic exclusion'],False,,,,[],,,7,1331,1,False,"['Has 7 values, but 0 in Control', 'Only 7 non-null values']",PCOS,Mocz - badanie ogólne (MCUKIE),,False,,,exclude,True,False,False
Mocz - badanie ogólne (MERY),Urinalysis,str,,['N=7 < 10 - automatic exclusion'],False,,,,[],,,7,1331,4,False,"['Has 7 values, but 0 in Control', 'Only 7 non-null values']",PCOS,Mocz - badanie ogólne (MERY),,False,,,exclude,True,False,False
Mocz - badanie ogólne (MKETON),Urinalysis,str,,['N=7 < 10 - automatic exclusion'],False,,,,[],,,7,1331,1,False,"['Has 7 values, but 0 in Control', 'Only 7 non-null values']",PCOS,Mocz - badanie ogólne (MKETON),,False,,,exclude,True,False,False
Mocz - badanie ogólne (MLEU),Urinalysis,str,,['N=7 < 10 - automatic exclusion'],False,,,,[],,,7,1331,4,False,"['Has 7 values, but 0 in Control', 'Only 7 non-null values']",PCOS,Mocz - badanie ogólne (MLEU),,False,,,exclude,True,False,False
Mocz - badanie ogólne (MNIT),Urinalysis,str,,['N=7 < 10 - automatic exclusion'],False,,,,[],,,7,1331,2,False,"['Has 7 values, but 0 in Control', 'Only 7 non-null values']",PCOS,Mocz - badanie ogólne (MNIT),,False,,,exclude,True,False,False
Mocz - badanie ogólne (MOSAD),Urinalysis,float64,,['N=0 - completely empty column (no data)'],False,,,,[],,,0,1331,0,False,['No non-null values at all'],,Mocz - badanie ogólne (MOSAD),,False,,,exclude,True,False,False
Mocz - badanie ogólne (MPH),Urinalysis,float64,,['N=7 < 10 - automatic exclusion'],False,7.0,6.071428571428571,6.0,[],,5.0,7,1331,4,False,"['Has 7 values, but 0 in Control', 'Only 7 non-null values']",PCOS,Mocz - badanie ogólne (MPH),,False,5.5,6.75,exclude,True,False,False
Mocz - badanie ogólne (MPRZEJ),Urinalysis,str,,['N=7 < 10 - automatic exclusion'],False,,,,[],,,7,1331,3,False,"['Has 7 values, but 0 in Control', 'Only 7 non-null values']",PCOS,Mocz - badanie ogólne (MPRZEJ),,False,,,exclude,True,False,False
Mocz - badanie ogólne (MUROBI),Urinalysis,str,,['N=7 < 10 - automatic exclusion'],False,,,,[],,,7,1331,1,False,"['Has 7 values, but 0 in Control', 'Only 7 non-null values']",PCOS,Mocz - badanie ogólne (MUROBI),,False,,,exclude,True,False,False
Morfologia CBC (HCT),Hematocrit,float64,%,['merged into hematocrit_percent'],False,45.9,38.95454545454545,38.55,[],hematocrit_percent,31.7,44,1331,39,False,"['Has 44 values, but 0 in Control']",PCOS,Morfologia CBC (HCT),,False,37.175000000000004,40.95,merged,False,False,False
Morfologia CBC (HGB),Hemoglobin,float64,g/dL,['merged into hemoglobin_g_dL'],False,15.5,12.884090909090908,12.850000000000001,[],hemoglobin_g_dL,9.1,44,1331,25,False,"['Has 44 values, but 0 in Control']",PCOS,Morfologia CBC (HGB),,False,12.149999999999999,13.4,merged,False,False,False
Morfologia CBC (MCH),MCH,float64,pg,['merged into mch_pg'],False,32.7,28.720454545454547,29.05,[],mch_pg,20.5,44,1331,32,False,"['Has 44 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → pg']",PCOS,Morfologia CBC (MCH),,False,27.525000000000002,29.9,merged,False,False,False
Morfologia CBC (MCHC),MCHC,float64,g/dL,['merged into mchc_g_dL'],False,37.0,33.05227272727272,32.95,[],mchc_g_dL,28.7,44,1331,26,False,"['Has 44 values, but 0 in Control', 'MANUAL CORRECTION: changed from MCH to MCHC', 'MANUAL UNIT ASSIGNMENT: None → g/dL']",PCOS,Morfologia CBC (MCHC),,False,32.275,33.625,merged,False,False,False
Morfologia CBC (MCV),MCV,float64,fL,['merged into mcv_fL'],False,94.8,86.82272727272726,86.8,[],mcv_fL,71.6,44,1331,39,False,"['Has 44 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → fL']",PCOS,Morfologia CBC (MCV),,False,83.675,90.45,merged,False,False,False
Morfologia CBC (MPV),MPV,float64,fL,['merged into mpv_fL'],False,12.9,10.452272727272726,10.4,[],mpv_fL,8.8,44,1331,21,False,"['Has 44 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → fL']",PCOS,Morfologia CBC (MPV),,False,9.8,11.025,merged,False,False,False
Morfologia CBC (NRBC_B),NRBC,str,,"['contains commas (Polish decimal) - 44 occurrences', 'no variance - only 1 unique value (constant: 0,00)']",True,,,,[],,,44,1331,1,True,"['Has 44 values, but 0 in Control', 'MANUAL CORRECTION: changed from RBC to NRBC', 'Formatting errors: contains commas (Polish decimal) - 44 occurrences', 'Data cleaning decision needed: contains commas (Polish decimal) + problematic value ""0,00 | 0,01""', ""Problematic sample values: ['0,00', '0,00', '0,00', '0,00 | 0,01', '0,00']""]",PCOS,Morfologia CBC (NRBC_B),,False,,,exclude,False,False,False
Morfologia CBC (NRBC_P),NRBC,str,,"['contains commas (Polish decimal) - 44 occurrences', 'no variance - only 1 unique value (constant: 0,00)']",True,,,,[],,,44,1331,1,True,"['Has 44 values, but 0 in Control', 'MANUAL CORRECTION: changed from RBC to NRBC', 'Formatting errors: contains commas (Polish decimal) - 44 occurrences', 'Data cleaning decision needed: contains commas (Polish decimal)', ""Problematic sample values: ['0,00', '0,00', '0,00', '0,00', '0,00']""]",PCOS,Morfologia CBC (NRBC_P),,False,,,exclude,False,False,False
Morfologia CBC (PCT),MPV,float64,%,['merged into pct_percent'],False,0.45,0.2895454545454546,0.28,[],pct_percent,0.19,44,1331,20,False,"['Has 44 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → %']",PCOS,Morfologia CBC (PCT),,False,0.24,0.3225,merged,False,False,False
Morfologia CBC (PDW),MPV,float64,fL,['merged into pdw_fL'],False,19.1,12.1,11.95,[],pdw_fL,8.7,44,1331,29,False,"['Has 44 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → fL']",PCOS,Morfologia CBC (PDW),,False,10.875,13.5,merged,False,False,False
Morfologia CBC (PLCR),MPV,float64,%,['merged into plcr_percent'],False,48.6,28.629545454545454,28.35,[],plcr_percent,14.5,44,1331,42,False,"['Has 44 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → %']",PCOS,Morfologia CBC (PLCR),,False,23.224999999999998,33.65,merged,False,False,False
Morfologia CBC (PLT),Platelets,float64,10^3/uL,['merged into platelets_10_3_uL'],False,432.0,278.5,266.5,[],platelets_10_3_uL,169.0,44,1331,40,False,"['Has 44 values, but 0 in Control']",PCOS,Morfologia CBC (PLT),,False,239.0,328.5,merged,False,False,False
Morfologia CBC (RBC),RBC,float64,10^6/uL,['merged into rbc_10_6_uL'],False,5.53,4.4952272727272735,4.445,[],rbc_10_6_uL,3.83,44,1331,37,False,"['Has 44 values, but 0 in Control', 'MANUAL CORRECTION: set to 10^6/uL']",PCOS,Morfologia CBC (RBC),,False,4.25,4.74,merged,False,False,False
Morfologia CBC (RDW),RDW,float64,%,['merged into rdw_percent'],False,17.6,13.000000000000002,12.55,[],rdw_percent,10.6,44,1331,27,False,"['Has 44 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → %']",PCOS,Morfologia CBC (RDW),,False,12.2,13.325,merged,False,False,False
Morfologia CBC (RDWSD),RDW,float64,fL,['merged into rdwsd_fL'],False,52.1,41.02499999999999,40.25,[],rdwsd_fL,36.1,44,1331,39,False,"['Has 44 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → fL']",PCOS,Morfologia CBC (RDWSD),,False,38.9,42.8,merged,False,False,False
Morfologia CBC (WBC),WBC,float64,10^3/uL,['merged into wbc_10_3_uL'],False,13.49,6.7947727272727265,6.395,[],wbc_10_3_uL,3.77,44,1331,42,False,"['Has 44 values, but 0 in Control']",PCOS,Morfologia CBC (WBC),,False,5.6075,7.824999999999999,merged,False,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (BASO)",Basophils,float64,%,[],False,2.3,0.6694783573806881,0.7,[],,0.0,901,1331,22,False,"['Has 901 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → 10^3/uL', 'MANUAL CORRECTION: BASO/BASOB swapped. 10^3/uL → %']",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (BASO)",,False,0.5,0.8,,False,False,True
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (BASOB)",Basophils,float64,10^3/uL,[],False,0.13,0.04261376248612653,0.04,[],,0.0,901,1331,14,False,"['Has 901 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → %', 'MANUAL CORRECTION: BASO/BASOB swapped. % → 10^3/uL']",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (BASOB)",,False,0.03,0.05,,False,False,True
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (EOS#)",Eosinophils,float64,10^3/uL,[],False,1.15,0.1868442471328154,0.16,[],,0.0,901,1331,69,False,"['Has 901 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → 10^3/uL']",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (EOS#)",,False,0.11,0.23,,False,False,True
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (EOS)",Eosinophils,float64,%,[],False,15.9,2.9208287088420275,2.5,[],,0.0,901,1331,95,False,"['Has 901 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → %']",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (EOS)",,False,1.7,3.6,,False,False,True
