Parameter,category,data_type,detected_unit,exclude_reason,formatting_errors,max,mean,median,merged_from,merged_into,min,n_nonnull,n_total,n_unique,no_variance,notes,only_in_group,original_name,original_unit,outliers_detected,q1,q3,recommended_action,too_few_data,unit_unknown,useful
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (HCT)",Hematocrit,float64,%,['merged into hematocrit_percent'],False,49.6,40.29282278949316,40.3,[],hematocrit_percent,30.0,901,1331,142,False,"['Has 901 values, but 0 in Control']",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (HCT)",,False,38.4,42.2,merged,False,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (HGB)",Hemoglobin,float64,g/dL,['merged into hemoglobin_g_dL'],False,16.3,13.263522012578617,13.3,[],hemoglobin_g_dL,8.4,901,1331,60,False,"['Has 901 values, but 0 in Control']",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (HGB)",,False,12.6,13.9,merged,False,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (IG_B)",Immature_Granulocytes,float64,10^3/uL,[],False,0.09,0.01597669256381798,0.01,[],,0.0,901,1331,11,False,"['Has 901 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → 10^3/uL']",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (IG_B)",,False,0.01,0.02,,False,False,True
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (IG_P)",Immature_Granulocytes,float64,%,[],False,1.0,0.24150943396226418,0.2,[],,0.0,901,1331,11,False,"['Has 901 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → %']",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (IG_P)",,False,0.2,0.3,,False,False,True
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (LIM#)",Lymphocytes,float64,10^3/uL,['merged into lymphocytes_abs_10_3_uL'],False,5.19,2.6118054014058454,2.56,[],lymphocytes_abs_10_3_uL,0.59,901,1331,261,False,"['Has 901 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → 10^3/uL']",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (LIM#)",,False,2.21,3.0,merged,False,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (LIM)",Lymphocytes,float64,%,[],False,66.2,40.946540880503136,41.2,[],,11.2,901,1331,307,False,"['Has 901 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → %']",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (LIM)",,False,35.7,46.4,,False,False,True
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MCH)",MCH,float64,pg,['merged into mch_pg'],False,34.7,29.691453940066594,29.9,[],mch_pg,20.0,901,1331,96,False,"['Has 901 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → pg']",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MCH)",,False,28.8,30.7,merged,False,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MCHC)",MCHC,float64,g/dL,['merged into mchc_g_dL'],False,36.1,32.915538290788014,32.9,[],mchc_g_dL,27.8,901,1331,60,False,"['Has 901 values, but 0 in Control', 'MANUAL CORRECTION: changed from MCH to MCHC', 'MANUAL UNIT ASSIGNMENT: None → g/dL']",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MCHC)",,False,32.3,33.5,merged,False,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MCV)",MCV,float64,fL,['merged into mcv_fL'],False,100.9,90.17114317425083,90.4,[],mcv_fL,71.7,901,1331,181,False,"['Has 901 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → fL']",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MCV)",,False,87.8,92.7,merged,False,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MON#)",Monocytes,float64,10^3/uL,[],False,1.24,0.5576415094339623,0.55,[],,0.22,901,1331,80,False,"['Has 901 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → 10^3/uL']",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MON#)",,False,0.46,0.64,,False,False,True
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MON)",Monocytes,float64,%,[],False,16.4,8.722308546059933,8.6,[],,4.4,901,1331,96,False,"['Has 901 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → %']",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MON)",,False,7.4,9.9,,False,False,True
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MPV)",MPV,float64,fL,['merged into mpv_fL'],False,13.8,10.522456529781724,10.4,[],mpv_fL,8.5,901,1331,50,False,"['Has 901 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → fL']",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MPV)",,False,9.8,11.1,merged,False,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (NEUT#)",Neutrophils,float64,10^3/uL,['merged into neutrophils_abs_10_3_uL'],False,9.67,3.06866444691084,2.87,[],neutrophils_abs_10_3_uL,0.78,901,1331,347,False,"['Has 901 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → 10^3/uL']",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (NEUT#)",,False,2.3,3.62,merged,False,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (NEUT)",Neutrophils,float64,%,[],False,79.2,46.499926008139106,46.4,[],,22.8,901,1331,314,False,"['Has 901 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → %']",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (NEUT)",,False,40.9,51.8,,False,False,True
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (NRBC_B)",NRBC,str,,['contains commas (Polish decimal) - 901 occurrences'],True,,,,[],,,901,1331,4,False,"['Has 901 values, but 0 in Control', 'MANUAL CORRECTION: changed from RBC to NRBC', 'Formatting errors: contains commas (Polish decimal) - 901 occurrences', 'Data cleaning decision needed: contains commas (Polish decimal) + problematic value ""0,00 | 0,01""', ""Problematic sample values: ['0,00', '0,00', '0,00', '0,00', '0,00']""]",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (NRBC_B)",,False,,,decision_needed,False,False,True
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (NRBC_P)",NRBC,str,,['contains commas (Polish decimal) - 902 occurrences'],True,,,,[],,,902,1331,6,False,"['Has 902 values, but 0 in Control', 'MANUAL CORRECTION: changed from RBC to NRBC', 'Formatting errors: contains commas (Polish decimal) - 902 occurrences', 'Data cleaning decision needed: contains commas (Polish decimal) + problematic value ""0,00 | 0,01""', ""Problematic sample values: ['0,00', '0,00', '0,00', '0,00', '0,00']""]",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (NRBC_P)",,False,,,decision_needed,False,False,True
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PCT)",MPV,float64,%,['merged into pct_percent'],False,0.56,0.27467813540510544,0.27,[],pct_percent,0.14,901,1331,35,False,"['Has 901 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → %']",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PCT)",,False,0.24,0.31,merged,False,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PDW)",MPV,float64,fL,['merged into pdw_fL'],False,21.9,12.306836659275683,12.1,[],pdw_fL,8.4,902,1331,97,False,"['Has 902 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → fL']",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PDW)",,False,10.9,13.4,merged,False,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PLCR)",MPV,float64,%,['merged into plcr_percent'],False,54.5,29.11624121346652,28.7,[],plcr_percent,11.7,901,1331,288,False,"['Has 901 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → %']",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PLCR)",,False,23.4,33.6,merged,False,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PLT)",Platelets,float64,10^3/uL,['merged into platelets_10_3_uL'],False,592.0,262.8472068072512,259.0,[],platelets_10_3_uL,122.0,901,1331,225,False,"['Has 901 values, but 0 in Control']",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PLT)",,False,226.0,298.0,merged,False,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (RBC)",RBC,float64,10^6/uL,['merged into rbc_10_6_uL'],False,5.65,4.475186829448761,4.47,[],rbc_10_6_uL,3.4,901,1331,165,False,"['Has 901 values, but 0 in Control', 'MANUAL CORRECTION: set to 10^6/uL']",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (RBC)",,False,4.25,4.7,merged,False,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (RDW)",RDW,float64,%,['merged into rdw_percent'],False,19.9,12.741620421753606,12.6,[],rdw_percent,10.8,901,1331,56,False,"['Has 901 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → %']",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (RDW)",,False,12.1,13.1,merged,False,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (RDWSD)",RDW,float64,fL,['merged into rdwsd_fL'],False,60.5,42.020865704772476,41.6,[],rdwsd_fL,33.9,901,1331,133,False,"['Has 901 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → fL']",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (RDWSD)",,False,40.2,43.5,merged,False,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (WBC)",WBC,float64,10^3/uL,['merged into wbc_10_3_uL'],False,12.5,6.483518312985571,6.26,[],wbc_10_3_uL,2.25,901,1331,449,False,"['Has 901 values, but 0 in Control']",PCOS,"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (WBC)",,False,5.48,7.3,merged,False,False,False
NLR,NLR,float64,,['N=0 - completely empty column (no data)'],False,,,,[],,,0,1331,0,False,['No non-null values at all'],,NLR,,False,,,exclude,True,False,False
Neu 10^3/uL,Neutrophils,float64,10^3/uL,['merged into neutrophils_abs_10_3_uL'],False,5.0,2.7588888888888885,2.61,[],neutrophils_abs_10_3_uL,1.21,45,1331,45,False,"['Has 45 values, but 0 in PCOS']",Control_no_PCOS,Neu 10^3/uL,,False,2.1,3.37,merged,False,False,False
Nr KG,Index,float64,,[],False,49493.0,21202.33825816485,20912.0,[],,56.0,1286,1331,1286,False,"['Used as identifier/grouping variable', 'Has 1286 values, but 0 in Control']",PCOS,Nr KG,,False,9899.75,31500.5,keep_as_index,False,False,True
P/c antytyreoglobulinowe (anty-Tg) (ANTYTG2),Anti_TG,float64,IU/mL,['merged into anti_tg_IU_mL'],False,1477.0,42.04516129032258,16.3,[],anti_tg_IU_mL,10.6,682,1331,215,False,"['Has 682 values, but 0 in Control', 'MANUAL UNIT ASSIGNMENT: None → IU/mL']",PCOS,P/c antytyreoglobulinowe (anty-Tg) (ANTYTG2),,False,14.6,18.7,merged,False,False,False
P/c przeciw GAD (p/c p. dekarbosylazie kwasu glutaminowego) (PCGAD),Anti_GAD,float64,,['N=2 < 10 - automatic exclusion'],False,5.0,5.0,5.0,[],,5.0,2,1331,1,False,"['Has 2 values, but 0 in Control', 'Only 2 non-null values']",PCOS,P/c przeciw GAD (p/c p. dekarbosylazie kwasu glutaminowego) (PCGAD),,False,5.0,5.0,exclude,True,False,False
P/c przeciw receptorowi TSH (TRAb) (O15) (TRAB),Thyroid_Autoantibodies,float64,,['N=2 < 10 - automatic exclusion'],False,6.69,3.745,3.745,[],,0.8,2,1331,2,False,"['Has 2 values, but 0 in Control', 'MANUAL CORRECTION: changed from TSH to Thyroid_Autoantibodies', 'Only 2 non-null values']",PCOS,P/c przeciw receptorowi TSH (TRAb) (O15) (TRAB),,False,2.2725,5.2175,exclude,True,False,False
P/c przeciw receptorowi TSH (TRAb) (TRAB_2),Thyroid_Autoantibodies,float64,,['N=5 < 10 - automatic exclusion'],False,0.94,0.8300000000000001,0.8,[],,0.8,5,1331,3,False,"['Has 5 values, but 0 in Control', 'MANUAL CORRECTION: changed from TSH to Thyroid_Autoantibodies', 'Only 5 non-null values']",PCOS,P/c przeciw receptorowi TSH (TRAb) (TRAB_2),,False,0.8,0.81,exclude,True,False,False
PLR,PLR,float64,,['N=0 - completely empty column (no data)'],False,,,,[],,,0,1331,0,False,['No non-null values at all'],,PLR,,False,,,exclude,True,False,False
PLT 10^3/uL,Platelets,float64,10^3/uL,['merged into platelets_10_3_uL'],False,381.0,247.06666666666666,236.0,[],platelets_10_3_uL,123.0,45,1331,40,False,"['Has 45 values, but 0 in PCOS']",Control_no_PCOS,PLT 10^3/uL,,False,213.0,275.0,merged,False,False,False
PRL 10:00 i 10:00 po PEG (PRL10),Prolactin,float64,,['N=1 < 10 - automatic exclusion'],False,34.05,34.05,34.05,[],,34.05,1,1331,1,False,"['Has 1 values, but 0 in Control', 'Only 1 non-null values']",PCOS,PRL 10:00 i 10:00 po PEG (PRL10),,False,34.05,34.05,exclude,True,False,False
PRL 10:00 i 10:00 po PEG (PRL10PEG),Prolactin,float64,,['N=1 < 10 - automatic exclusion'],False,22.4,22.4,22.4,[],,22.4,1,1331,1,False,"['Has 1 values, but 0 in Control', 'Only 1 non-null values']",PCOS,PRL 10:00 i 10:00 po PEG (PRL10PEG),,False,22.4,22.4,exclude,True,False,False
"PRL 10:00, 10:00 po PEG, 16:00 (PRL10)",Prolactin,float64,,"['N=25 between 10 and 30 - needs manual verification', 'Manual decision: excluded after review (N=25 between 10-30)']",False,83.5,34.1132,31.83,[],,7.2,25,1331,25,False,"['Has 25 values, but 0 in Control', 'Only 25 non-null values - consider if useful for subgroup analysis', 'Manual exclude decision - insufficient data or better alternatives exist']",PCOS,"PRL 10:00, 10:00 po PEG, 16:00 (PRL10)",,False,24.8,38.99,exclude,True,False,False
"PRL 10:00, 10:00 po PEG, 16:00 (PRL10PEG)",Prolactin,float64,,"['N=25 between 10 and 30 - needs manual verification', 'Manual decision: excluded after review (N=25 between 10-30)']",False,75.6,20.0908,14.43,[],,5.55,25,1331,25,False,"['Has 25 values, but 0 in Control', 'Only 25 non-null values - consider if useful for subgroup analysis', 'Manual exclude decision - insufficient data or better alternatives exist']",PCOS,"PRL 10:00, 10:00 po PEG, 16:00 (PRL10PEG)",,False,10.28,21.2,exclude,True,False,False
"PRL 10:00, 10:00 po PEG, 16:00 (PRL16)",Prolactin,float64,,"['N=23 between 10 and 30 - needs manual verification', 'Manual decision: excluded after review (N=23 between 10-30)']",False,61.2,27.67086956521739,27.3,[],,9.05,23,1331,23,False,"['Has 23 values, but 0 in Control', 'Only 23 non-null values - consider if useful for subgroup analysis', 'Manual exclude decision - insufficient data or better alternatives exist']",PCOS,"PRL 10:00, 10:00 po PEG, 16:00 (PRL16)",,False,18.1,33.4,exclude,True,False,False
PRL godz. 10:00 (PRL10),Prolactin,float64,ng/mL,['merged into prolactin_ng_ml'],False,72.7,11.38806008583691,10.2,[],prolactin_ng_ml,2.45,1165,1331,590,False,"['Has 1165 values, but 0 in Control']",PCOS,PRL godz. 10:00 (PRL10),,False,7.81,13.5,merged,False,False,False
PRL ng/ml,Prolactin,float64,ng/mL,['merged into prolactin_ng_ml'],False,35.0,17.49311111111111,16.7,[],prolactin_ng_ml,7.64,45,1331,39,False,"['Has 45 values, but 0 in PCOS']",Control_no_PCOS,PRL ng/ml,,False,13.3,22.7,merged,False,False,False
Procent odzysku prolaktyny po precypitacji (MAKROPRL),Prolactin,float64,,"['N=14 between 10 and 30 - needs manual verification', 'Manual decision: excluded after review (N=14 between 10-30)']",False,97.66,69.45714285714286,75.765,[],,20.91,14,1331,14,False,"['Has 14 values, but 0 in Control', 'Only 14 non-null values - consider if useful for subgroup analysis', 'Manual exclude decision - insufficient data or better alternatives exist']",PCOS,Procent odzysku prolaktyny po precypitacji (MAKROPRL),,False,50.4225,92.135,exclude,True,False,False
Protrombina (PT) (PTAKT),PT_APTT,float64,,['N=5 < 10 - automatic exclusion'],False,95.0,86.6,85.0,[],,78.0,5,1331,5,False,"['Has 5 values, but 0 in Control', 'Only 5 non-null values']",PCOS,Protrombina (PT) (PTAKT),,False,82.0,93.0,exclude,True,False,False
Protrombina (PT) (PTCZAS),PT_APTT,float64,,['N=5 < 10 - automatic exclusion'],False,13.6,13.0,13.0,[],,12.0,5,1331,5,False,"['Has 5 values, but 0 in Control', 'Only 5 non-null values']",PCOS,Protrombina (PT) (PTCZAS),,False,12.9,13.5,exclude,True,False,False
Protrombina (PT) (PTINR),PT_APTT,str,,['N=5 < 10 - automatic exclusion'],False,,,,[],,,5,1331,5,False,"['Has 5 values, but 0 in Control', 'Only 5 non-null values']",PCOS,Protrombina (PT) (PTINR),,False,,,exclude,True,False,False
Przyjęcie na oddział zlecający,Index,datetime64[us],,[],False,,,,[],,,1286,1331,1270,False,"['Has 1286 values, but 0 in Control']",PCOS,Przyjęcie na oddział zlecający,,False,,,,False,False,True
RDW %,RDW,float64,%,['merged into rdw_percent'],False,18.5,12.962222222222222,12.6,[],rdw_percent,11.4,45,1331,24,False,"['Has 45 values, but 0 in PCOS']",Control_no_PCOS,RDW %,,False,12.3,13.3,merged,False,False,False
"RTG kości nadgarstka, PA, bok (nan)",XRay,float64,,['N=0 - completely empty column (no data)'],False,,,,[],,,0,1331,0,False,['No non-null values at all'],,"RTG kości nadgarstka, PA, bok (nan)",,False,,,exclude,True,False,False
Rok KG,Index,float64,,[],False,2025.0,2022.192068429238,2023.0,[],,2018.0,1286,1331,8,False,"['Has 1286 values, but 0 in Control']",PCOS,Rok KG,,False,2021.0,2024.0,,False,False,True
SHBG (L_SHGB),SHBG,float64,nmol/L,['merged into shbg_nmol_l'],False,337.0,53.16779588336192,48.0,[],shbg_nmol_l,6.97,1166,1331,750,False,"['Has 1166 values, but 0 in Control']",PCOS,SHBG (L_SHGB),,False,30.9225,67.2,merged,False,False,False
SHBG (SHGB),SHBG,float64,,['N=1 < 10 - automatic exclusion'],False,25.52,25.52,25.52,[],,25.52,1,1331,1,False,"['Has 1 values, but 0 in Control', 'Only 1 non-null values']",PCOS,SHBG (SHGB),,False,25.52,25.52,exclude,True,False,False
SHBG nmol/l,SHBG,float64,nmol/L,['merged into shbg_nmol_l'],False,142.0,64.27333333333334,64.5,[],shbg_nmol_l,32.3,45,1331,43,False,"['Has 45 values, but 0 in PCOS']",Control_no_PCOS,SHBG nmol/l,,False,43.1,78.8,merged,False,False,False
TK jamy brzusznej i miednicy z kontrastem (nan),CT_Scan,float64,,['N=0 - completely empty column (no data)'],False,,,,[],,,0,1331,0,False,"['MANUAL CORRECTION: changed from AST to CT_Scan', 'No non-null values at all']",,TK jamy brzusznej i miednicy z kontrastem (nan),,False,,,exclude,True,False,False
TK jamy brzusznej z kontrastem (nan),CT_Scan,float64,,['N=0 - completely empty column (no data)'],False,,,,[],,,0,1331,0,False,"['MANUAL CORRECTION: changed from AST to CT_Scan', 'No non-null values at all']",,TK jamy brzusznej z kontrastem (nan),,False,,,exclude,True,False,False
TSH (TSH),TSH,float64,μIU/mL,['merged into tsh_uIU_mL'],False,9.4,2.0159537671232877,1.82,[],tsh_uIU_mL,0.005,1168,1331,415,False,"['Has 1168 values, but 0 in Control']",PCOS,TSH (TSH),,False,1.31,2.5124999999999997,merged,False,False,False
TSH uIU/ml,TSH,float64,μU/mL,['merged into tsh_uIU_mL'],False,4.2,2.114466666666667,1.92,[],tsh_uIU_mL,0.844,45,1331,44,False,"['Has 45 values, but 0 in PCOS']",Control_no_PCOS,TSH uIU/ml,,False,1.53,2.68,merged,False,False,False
Test Roma (CA125),CA125,float64,,['N=8 < 10 - automatic exclusion'],False,26.9,16.55,15.4,[],,10.4,8,1331,8,False,"['Has 8 values, but 0 in Control', 'Only 8 non-null values']",PCOS,Test Roma (CA125),,False,12.75,19.475,exclude,True,False,False
Test Roma (HE4),HE4_ROMA,float64,,"['N=10 between 10 and 30 - needs manual verification', 'Manual decision: excluded after review (N=10 between 10-30)']",False,56.3,36.86,32.75,[],,28.5,10,1331,10,False,"['Has 10 values, but 0 in Control', 'Only 10 non-null values - consider if useful for subgroup analysis', 'Manual exclude decision - insufficient data or better alternatives exist']",PCOS,Test Roma (HE4),,False,31.6,40.349999999999994,exclude,True,False,False
Test Roma (I41),HE4_ROMA,float64,,['N=2 < 10 - automatic exclusion'],False,13.28,11.879999999999999,11.879999999999999,[],,10.48,2,1331,2,False,"['Has 2 values, but 0 in Control', 'Only 2 non-null values']",PCOS,Test Roma (I41),,False,11.18,12.58,exclude,True,False,False
Test Roma (POMENOP),HE4_ROMA,float64,,['N=8 < 10 - automatic exclusion'],False,11.4,8.436250000000001,8.51,[],,5.24,8,1331,8,False,"['Has 8 values, but 0 in Control', 'Only 8 non-null values']",PCOS,Test Roma (POMENOP),,False,6.7275,9.9,exclude,True,False,False
